_id,idx,series,kode_wilayah,wilayah,tahun,triwulan,bulan,tanggal,nilai,target
1,0,Produksi Daging Ayam Ras Petelur menurut Provinsi_,1,Indonesia,2000,,,,23745,
2,1,Produksi Daging Ayam Ras Petelur menurut Provinsi_,1,Indonesia,2001,,,,88299,
3,2,Produksi Daging Ayam Ras Petelur menurut Provinsi_,1,Indonesia,2002,,,,42773,
4,3,Produksi Daging Ayam Ras Petelur menurut Provinsi_,1,Indonesia,2003,,,,48146,
5,4,Produksi Daging Ayam Ras Petelur menurut Provinsi_,1,Indonesia,2004,,,,48376,
6,5,Produksi Daging Ayam Ras Petelur menurut Provinsi_,1,Indonesia,2005,,,,45193,
7,6,Produksi Daging Ayam Ras Petelur menurut Provinsi_,1,Indonesia,2006,,,,57631,
8,7,Produksi Daging Ayam Ras Petelur menurut Provinsi_,1,Indonesia,2007,,,,58162,
9,8,Produksi Daging Ayam Ras Petelur menurut Provinsi_,1,Indonesia,2008,,,,57274,
10,9,Produksi Daging Ayam Ras Petelur menurut Provinsi_,1,Indonesia,2009,,,,55055,
11,10,Produksi Daging Ayam Ras Petelur menurut Provinsi_,1,Indonesia,2010,,,,57712,
12,11,Produksi Daging Ayam Ras Petelur menurut Provinsi_,1,Indonesia,2011,,,,62146,
13,12,Produksi Daging Ayam Ras Petelur menurut Provinsi_,1,Indonesia,2012,,,,66050,
14,13,Produksi Daging Ayam Ras Petelur menurut Provinsi_,1,Indonesia,2013,,,,77134,
15,14,Produksi Daging Ayam Ras Petelur menurut Provinsi_,1,Indonesia,2014,,,,97195,
16,15,Produksi Daging Ayam Ras Petelur menurut Provinsi_,1,Indonesia,2015,,,,102804,
17,16,Produksi Daging Ayam Ras Petelur menurut Provinsi_,1,Indonesia,2016,,,,105739,
18,17,Produksi Daging Ayam Ras Petelur menurut Provinsi_,11,Aceh,2000,,,,148,
19,18,Produksi Daging Ayam Ras Petelur menurut Provinsi_,11,Aceh,2001,,,,140,
20,19,Produksi Daging Ayam Ras Petelur menurut Provinsi_,11,Aceh,2002,,,,,
21,20,Produksi Daging Ayam Ras Petelur menurut Provinsi_,11,Aceh,2003,,,,2,
22,21,Produksi Daging Ayam Ras Petelur menurut Provinsi_,11,Aceh,2004,,,,34,
23,22,Produksi Daging Ayam Ras Petelur menurut Provinsi_,11,Aceh,2005,,,,44,
24,23,Produksi Daging Ayam Ras Petelur menurut Provinsi_,11,Aceh,2006,,,,79,
25,24,Produksi Daging Ayam Ras Petelur menurut Provinsi_,11,Aceh,2007,,,,125,
26,25,Produksi Daging Ayam Ras Petelur menurut Provinsi_,11,Aceh,2008,,,,332,
27,26,Produksi Daging Ayam Ras Petelur menurut Provinsi_,11,Aceh,2009,,,,432,
28,27,Produksi Daging Ayam Ras Petelur menurut Provinsi_,11,Aceh,2010,,,,453,
29,28,Produksi Daging Ayam Ras Petelur menurut Provinsi_,11,Aceh,2011,,,,1321,
30,29,Produksi Daging Ayam Ras Petelur menurut Provinsi_,11,Aceh,2012,,,,1361,
31,30,Produksi Daging Ayam Ras Petelur menurut Provinsi_,11,Aceh,2013,,,,196,
32,31,Produksi Daging Ayam Ras Petelur menurut Provinsi_,11,Aceh,2014,,,,169,
33,32,Produksi Daging Ayam Ras Petelur menurut Provinsi_,11,Aceh,2015,,,,274,
34,33,Produksi Daging Ayam Ras Petelur menurut Provinsi_,11,Aceh,2016,,,,288,
35,34,Produksi Daging Ayam Ras Petelur menurut Provinsi_,12,Sumatera Utara,2000,,,,6610,
36,35,Produksi Daging Ayam Ras Petelur menurut Provinsi_,12,Sumatera Utara,2001,,,,35382,
37,36,Produksi Daging Ayam Ras Petelur menurut Provinsi_,12,Sumatera Utara,2002,,,,7724,
38,37,Produksi Daging Ayam Ras Petelur menurut Provinsi_,12,Sumatera Utara,2003,,,,8439,
39,38,Produksi Daging Ayam Ras Petelur menurut Provinsi_,12,Sumatera Utara,2004,,,,8270,
40,39,Produksi Daging Ayam Ras Petelur menurut Provinsi_,12,Sumatera Utara,2005,,,,3677,
41,40,Produksi Daging Ayam Ras Petelur menurut Provinsi_,12,Sumatera Utara,2006,,,,2587,
42,41,Produksi Daging Ayam Ras Petelur menurut Provinsi_,12,Sumatera Utara,2007,,,,4880,
43,42,Produksi Daging Ayam Ras Petelur menurut Provinsi_,12,Sumatera Utara,2008,,,,5834,
44,43,Produksi Daging Ayam Ras Petelur menurut Provinsi_,12,Sumatera Utara,2009,,,,4596,
45,44,Produksi Daging Ayam Ras Petelur menurut Provinsi_,12,Sumatera Utara,2010,,,,4832,
46,45,Produksi Daging Ayam Ras Petelur menurut Provinsi_,12,Sumatera Utara,2011,,,,5251,
47,46,Produksi Daging Ayam Ras Petelur menurut Provinsi_,12,Sumatera Utara,2012,,,,8501,
